id,food1,interacting_people1,outKennel1,kennel1,toys1,food2,dogs1,handling1,toys2,outKennel2,kennel2,dogs2,handling2,interacting_people2
80,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,PL,FOC,RDNA,IN,ST,RPNA
81,RE,RPNA,UN,RE,PL,NEM,FR,RE,PL+,RDNA,RDA,IN,ST,RPA
82,RE,RPNA,RE,RPNA,PL,NEM,FOC,ST,PL+,FOC,RDA,UAV,ST,RPA
83,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,OB,FOC,RDA,IN,ST,RPA
84,NM,RPNA,UN,RPNA,PL,NEM,FOC,EX,PL+,EX,RDA,IN,UAV,RPA
85,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,PL+,FOC,RDA,IN,ST,RPA
86,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,PL+,EX,RDNA,IN,ST,RPA
87,RE,RPNA,UN,RPNA,PL,NM,FOC,ST,OS,FOC,RDA,IN,ST,RPA
88,RE,RPNA,UN,RPNA,PL,NEM,FOC,ST,PL+,FOC,RDA,UAV,ST,RPA
89,NM,RPNA,UN,VO,RE,UAV,FOC,UST,OB,FOC,RDNA,IN,ST,RPNA
90,RE,RPNA,UN,VO,PL,UAV,FOC,UST,PL+,RDA,RDA,IN,ST,NA
91,RE,RPNA,UN,RPNA,PL,UAP,FOC,RE,OS,RDNA,RDNA,IN,ST,RPNA
92,RE,RPNA,RE,RPNA,PL,NM,FOC,RE,PL+,FOC,RDNA,IN,ST,RPA
93,NET,RPNA,UN,RPNA,PL,NEM,FOC,RE,PL+,FOC,RDA,IN,UST,RDNA
