Inference for Stan model: Stan_model_PPP_quadratic.
4 chains, each with iter=5000; warmup=2500; thin=1; 
post-warmup draws per chain=2500, total post-warmup draws=10000.

                 mean se_mean     sd    2.5%   97.5% n_eff   Rhat
Beta2[7]      -0.0336  0.0008 0.0619 -0.1544  0.0863  5885 1.0000
Beta2[8]      -0.3063  0.0006 0.0411 -0.3887 -0.2256  5295 0.9998
Beta2[9]      -0.0881  0.0007 0.0521 -0.1897  0.0152  6136 1.0004
Beta2[10]     -0.1001  0.0009 0.0664 -0.2293  0.0285  5504 1.0008
Beta2[11]      0.0608  0.0010 0.1032 -0.1426  0.2618 10000 1.0000
Beta2[12]     -0.0058  0.0008 0.0687 -0.1416  0.1254  6916 1.0003
Beta3[1]      -0.0290  0.0003 0.0216 -0.0717  0.0127  6072 1.0005
Beta3[2]      -0.0044  0.0002 0.0203 -0.0449  0.0353  6750 1.0007
Beta3[3]       0.0779  0.0003 0.0233  0.0324  0.1241  6665 1.0006
Beta3[4]      -0.0506  0.0002 0.0200 -0.0904 -0.0118  7208 1.0002
Beta3[5]      -0.0138  0.0002 0.0184 -0.0503  0.0230  6929 0.9998
Beta3[6]      -0.0016  0.0004 0.0267 -0.0538  0.0505  5472 1.0002
Beta3[7]       0.0132  0.0005 0.0391 -0.0642  0.0898  5902 1.0004
Beta3[8]       0.1210  0.0004 0.0270  0.0688  0.1747  5246 1.0006
Beta3[9]       0.1118  0.0005 0.0345  0.0447  0.1789  5490 1.0010
Beta3[10]      0.0381  0.0007 0.0488 -0.0563  0.1363  4561 1.0019
Beta3[11]     -0.0684  0.0010 0.0829 -0.2346  0.0920  6857 1.0005
Beta3[12]      0.0112  0.0007 0.0517 -0.0876  0.1124  5726 1.0009
Beta4[1]       0.0603  0.0003 0.0207  0.0200  0.1013  5427 1.0007
Beta4[2]       0.0260  0.0003 0.0200 -0.0128  0.0662  5830 1.0003
Beta4[3]       0.0466  0.0002 0.0200  0.0072  0.0853  6600 1.0006
Beta4[4]       0.0328  0.0002 0.0176 -0.0021  0.0671  6225 1.0002
Beta4[5]      -0.0330  0.0002 0.0179 -0.0677  0.0022  6428 1.0000
Beta4[6]       0.0245  0.0004 0.0283 -0.0309  0.0807  5226 1.0001
Beta4[7]       0.0514  0.0006 0.0440 -0.0336  0.1379  5823 1.0000
Beta4[8]      -0.0084  0.0004 0.0269 -0.0617  0.0434  5758 0.9999
Beta4[9]      -0.0190  0.0005 0.0353 -0.0881  0.0489  5766 0.9999
Beta4[10]     -0.2398  0.0006 0.0442 -0.3252 -0.1534  5667 1.0004
Beta4[11]     -0.0130  0.0009 0.0777 -0.1610  0.1407  8105 1.0000
Beta4[12]     -0.1389  0.0006 0.0463 -0.2308 -0.0484  5360 1.0011
delta          0.6090  0.0008 0.0482  0.5149  0.7036  3533 1.0008
Beta_sigma     0.1507  0.0002 0.0196  0.1168  0.1943 10000 1.0002
thresh_raw[1]  0.2376  0.0001 0.0059  0.2261  0.2491  3177 1.0004
thresh_raw[2]  0.0954  0.0000 0.0034  0.0889  0.1022 10000 0.9998
thresh_raw[3]  0.1317  0.0000 0.0043  0.1234  0.1402 10000 0.9997
thresh_raw[4]  0.5353  0.0001 0.0084  0.5190  0.5517  3774 1.0000
thresh[1]      1.5000  0.0000 0.0000  1.5000  1.5000 10000    NaN
thresh[2]      2.4503  0.0004 0.0236  2.4043  2.4964  3177 1.0004
thresh[3]      2.8321  0.0005 0.0285  2.7761  2.8879  3321 1.0003
thresh[4]      3.3588  0.0005 0.0334  3.2931  3.4240  3774 1.0000
thresh[5]      5.5000  0.0000 0.0000  5.5000  5.5000 10000 0.9996

Samples were drawn using NUTS(diag_e) at Tue Feb 14 03:37:22 2017.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
